HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458928.87511,2020-03-20.3741737,bs,1.46,14.983,10.252,0.009,287.987,2.366,g
2458928.87634,2020-03-20.3753943,bs,1.41,14.986,10.247,0.009,289.341,2.242,g
2458928.87761,2020-03-20.3766725,bs,1.43,14.983,10.256,0.009,286.764,2.374,g
2458930.82082,2020-03-22.3198197,bs,1.54,99.990,99.990,99.990,99.990,99.990,g
2458930.82204,2020-03-22.3210393,bs,1.48,14.930,10.230,0.008,293.937,2.261,g
2458930.82327,2020-03-22.3222579,bs,1.45,14.958,10.276,0.009,281.633,2.197,g
2458932.00196,2020-03-23.5009134,bC,1.50,15.022,10.282,0.009,279.992,2.427,g
2458932.00454,2020-03-23.5034878,bC,1.50,15.030,10.303,0.010,274.758,2.465,g
2458933.81098,2020-03-25.3098673,bs,1.49,14.440,10.277,0.010,281.270,2.525,g
2458933.81220,2020-03-25.3110892,bs,1.45,14.553,10.245,0.010,289.656,2.626,g
2458933.81343,2020-03-25.3123123,bs,1.48,14.542,10.265,0.010,284.561,2.525,g
2458942.93071,2020-04-03.4292982,bC,1.39,99.990,99.990,99.990,99.990,99.990,g
2458942.93201,2020-04-03.4305961,bC,1.54,99.990,99.990,99.990,99.990,99.990,g
2458943.93617,2020-04-04.4347405,bC,1.41,14.968,10.278,0.009,281.312,2.345,g
2458943.93746,2020-04-04.4360267,bC,1.43,15.032,10.389,0.008,253.684,1.811,g
2458943.93875,2020-04-04.4373151,bC,1.41,15.012,10.353,0.009,262.472,2.261,g
2458956.88131,2020-04-17.3795153,bC,1.47,14.967,10.285,0.009,279.368,2.405,g
2458956.88259,2020-04-17.3808038,bC,1.48,14.954,10.256,0.009,286.929,2.447,g
2458956.88388,2020-04-17.3820887,bC,1.48,14.974,10.280,0.009,280.658,2.236,g
2458957.88440,2020-04-18.3825807,bC,1.48,14.501,10.275,0.009,281.758,2.488,g
2458957.88568,2020-04-18.3838685,bC,1.49,14.511,10.288,0.009,278.488,2.352,g
