date,dec,exp_time,jd,qidx,ra,star_name,time
2021-01-31,4.053726,660.3000000000001,2459245.961547639,8265.0,14.209862,HAT-P-26b_1_OUT_b2,11:04:37
2021-02-02,4.057549,660.3000000000001,2459247.9264058378,8277.0,14.209248,HAT-P-26b_1_OUT_a1,10:14:01
2021-02-02,4.056733,660.3000000000001,2459247.9344258397,8277.0,14.209459,HAT-P-26b_1_OUT_a1,10:25:34
2021-02-02,4.05561,660.3000000000001,2459247.94244562,8277.0,14.209673,HAT-P-26b_1_OUT_a1,10:37:07
2021-02-02,4.0541,660.3000000000001,2459247.950465476,8277.0,14.209899,HAT-P-26b_1_OUT_a1,10:48:40
2021-02-24,4.057307,820.0500000000001,2459269.8769768984,8496.0,14.209712,HAT-P-26b,09:02:50
2021-02-24,4.055902,820.0500000000001,2459269.886847691,8496.0,14.209988,HAT-P-26b,09:17:03
2020-08-09,46.674505,820.0500000000001,2459070.849459956,4967.0,2.069219,HAT-P-32_1_IN,08:23:13
2020-08-09,46.673806,820.0500000000001,2459070.8593305475,4967.0,2.069396,HAT-P-32_1_IN,08:37:26
2020-08-09,46.673309,820.0500000000001,2459070.8692010324,4967.0,2.069554,HAT-P-32_1_IN,08:51:38
2020-08-09,46.672837,820.0500000000001,2459070.879071771,4967.0,2.069735,HAT-P-32_1_IN,09:05:51
2020-08-09,46.672342,820.0500000000001,2459070.888942157,4967.0,2.069902,HAT-P-32_1_IN,09:20:04
2020-08-09,46.672091,820.0500000000001,2459070.898812662,4967.0,2.070068,HAT-P-32_1_IN,09:34:17
2020-09-19,46.676795,820.0500000000001,2459111.7381557664,6062.0,2.069385,HAT-P-32_3_IN,05:42:56
2020-09-19,46.676388,820.0500000000001,2459111.7480264455,6062.0,2.069553,HAT-P-32_3_IN,05:57:09
2020-09-19,46.675892,820.0500000000001,2459111.757896736,6062.0,2.069686,HAT-P-32_3_IN,06:11:22
2020-09-19,46.675385,820.0500000000001,2459111.7677676408,6062.0,2.069852,HAT-P-32_3_IN,06:25:35
2020-09-19,46.674887,820.0500000000001,2459111.777637889,6062.0,2.069987,HAT-P-32_3_IN,06:39:47
2020-09-19,46.674586,820.0500000000001,2459111.7875083764,6062.0,2.070142,HAT-P-32_3_IN,06:54:00
2020-10-06,46.69653,820.0500000000001,2459128.9181220694,6561.0,2.070373,HAT-P-32_5_IN,10:02:05
2020-10-06,46.693713,820.0500000000001,2459128.9279924515,6561.0,2.070461,HAT-P-32_5_IN,10:16:18
2020-10-06,46.690957,820.0500000000001,2459128.9378636493,6561.0,2.070562,HAT-P-32_5_IN,10:30:31
2020-10-06,46.68814,820.0500000000001,2459128.9477337273,6561.0,2.070677,HAT-P-32_5_IN,10:44:44
2020-10-06,46.685607,820.0500000000001,2459128.957604093,6561.0,2.070814,HAT-P-32_5_IN,10:58:56
2020-10-06,46.683111,820.0500000000001,2459128.9674746683,6561.0,2.070927,HAT-P-32_5_IN,11:13:09
2020-08-07,46.674983,820.0500000000001,2459068.86350566,4968.0,2.069215,HAT-P-32_1_OUT_b2,08:43:26
2020-08-07,46.674496,820.0500000000001,2459068.873376339,4968.0,2.069349,HAT-P-32_1_OUT_b2,08:57:39
2020-08-07,46.674148,820.0500000000001,2459068.883246875,4968.0,2.069452,HAT-P-32_1_OUT_b2,09:11:52
2020-08-07,46.673603,820.0500000000001,2459068.8931172327,4968.0,2.069713,HAT-P-32_1_OUT_b2,09:26:05
2020-08-08,46.674761,820.0500000000001,2459069.862899332,4969.0,2.069126,HAT-P-32_1_OUT_b1,08:42:34
2020-08-08,46.674279,820.0500000000001,2459069.8727698554,4969.0,2.069295,HAT-P-32_1_OUT_b1,08:56:47
2020-08-08,46.673826,820.0500000000001,2459069.882640349,4969.0,2.069476,HAT-P-32_1_OUT_b1,09:11:00
2020-08-08,46.673394,820.0500000000001,2459069.8925110362,4969.0,2.06964,HAT-P-32_1_OUT_b1,09:25:12
2020-09-18,46.693905,820.0500000000001,2459110.969856319,6065.0,2.070247,HAT-P-32_3_OUT_b1,11:16:35
2020-09-18,46.69088,820.0500000000001,2459110.979726806,6065.0,2.070301,HAT-P-32_3_OUT_b1,11:30:48
2020-09-18,46.688226,820.0500000000001,2459110.989597084,6065.0,2.070388,HAT-P-32_3_OUT_b1,11:45:01
2020-09-19,46.694607,820.0500000000001,2459111.971840585,6063.0,2.070234,HAT-P-32_3_OUT_d,11:19:27
2020-09-19,46.691824,820.0500000000001,2459111.9817113564,6063.0,2.070311,HAT-P-32_3_OUT_d,11:33:39
2020-09-20,46.694206,820.0500000000001,2459112.966542388,6066.0,2.070313,HAT-P-32_3_OUT_a1,11:11:49
2020-09-20,46.691334,820.0500000000001,2459112.976412922,6066.0,2.070379,HAT-P-32_3_OUT_a1,11:26:02
2020-09-20,46.688704,820.0500000000001,2459112.986283835,6066.0,2.070462,HAT-P-32_3_OUT_a1,11:40:14
2020-09-20,46.686173,820.0500000000001,2459112.9961540354,6066.0,2.070574,HAT-P-32_3_OUT_a1,11:54:27
2020-09-22,46.695019,820.0500000000001,2459114.9613786684,6067.0,2.070255,HAT-P-32_3_OUT_a2,11:04:23
2020-09-22,46.692118,820.0500000000001,2459114.9712498016,6067.0,2.070337,HAT-P-32_3_OUT_a2,11:18:35
2020-09-22,46.689392,820.0500000000001,2459114.9811200234,6067.0,2.070419,HAT-P-32_3_OUT_a2,11:32:48
2020-09-22,46.686959,820.0500000000001,2459114.9909907295,6067.0,2.070527,HAT-P-32_3_OUT_a2,11:47:01
2020-10-05,46.678417,820.0500000000001,2459127.7063850453,6564.0,2.069438,HAT-P-32_5_OUT_b1,04:57:11
2020-10-05,46.677839,820.0500000000001,2459127.7162554543,6564.0,2.069594,HAT-P-32_5_OUT_b1,05:11:24
2020-10-05,46.677496,820.0500000000001,2459127.7261260063,6564.0,2.069756,HAT-P-32_5_OUT_b1,05:25:37
2020-10-05,46.677059,820.0500000000001,2459127.7359964256,6564.0,2.069893,HAT-P-32_5_OUT_b1,05:39:50
2020-10-06,46.678191,820.0500000000001,2459128.6998588126,6562.0,2.069455,HAT-P-32_5_OUT_d,04:47:47
2020-10-06,46.677761,820.0500000000001,2459128.7097293357,6562.0,2.06963,HAT-P-32_5_OUT_d,05:02:00
2020-10-06,46.677406,820.0500000000001,2459128.7195998007,6562.0,2.069796,HAT-P-32_5_OUT_d,05:16:13
2020-10-06,46.676921,820.0500000000001,2459128.7294704346,6562.0,2.069966,HAT-P-32_5_OUT_d,05:30:26
2020-10-06,46.676876,820.0500000000001,2459128.7393406737,6562.0,2.070111,HAT-P-32_5_OUT_d,05:44:39
2020-10-06,46.676546,820.0500000000001,2459128.7492113807,6562.0,2.070253,HAT-P-32_5_OUT_d,05:58:51
2020-10-07,46.695319,820.0500000000001,2459129.9197359714,6565.0,2.070321,HAT-P-32_5_OUT_a1,10:04:25
2020-10-07,46.69237,820.0500000000001,2459129.9296068028,6565.0,2.070408,HAT-P-32_5_OUT_a1,10:18:38
2020-10-07,46.68962,820.0500000000001,2459129.939477444,6565.0,2.070496,HAT-P-32_5_OUT_a1,10:32:50
2020-10-07,46.6871,820.0500000000001,2459129.9493478513,6565.0,2.070633,HAT-P-32_5_OUT_a1,10:47:03
2020-10-08,46.678489,820.0500000000001,2459130.6990139256,6566.0,2.069449,HAT-P-32_5_OUT_a2,04:46:34
2020-10-08,46.67817,820.0500000000001,2459130.708884284,6566.0,2.06961,HAT-P-32_5_OUT_a2,05:00:47
2020-10-08,46.677688,820.0500000000001,2459130.7187550976,6566.0,2.06978,HAT-P-32_5_OUT_a2,05:15:00
2020-10-08,46.677317,820.0500000000001,2459130.728625437,6566.0,2.069927,HAT-P-32_5_OUT_a2,05:29:13
2020-08-01,46.674788,820.0500000000001,2459062.905315998,6317.0,2.069022,hat-p-32_p4,09:43:39
2020-08-01,46.674611,820.0500000000001,2459062.9151865337,6317.0,2.069187,hat-p-32_p4,09:57:52
2020-09-04,46.676454,820.0500000000001,2459096.788000087,4973.0,2.069369,HAT-P-32_2_OUT_b2,06:54:43
2020-09-04,46.675713,820.0500000000001,2459096.7978705354,4973.0,2.069537,HAT-P-32_2_OUT_b2,07:08:56
2020-09-04,46.675251,820.0500000000001,2459096.807741227,4973.0,2.0697,HAT-P-32_2_OUT_b2,07:23:08
2020-09-04,46.67487,820.0500000000001,2459096.817611759,4973.0,2.06987,HAT-P-32_2_OUT_b2,07:37:21
2020-09-05,46.677061,820.0500000000001,2459097.8236689847,4974.0,2.069263,HAT-P-32_2_OUT_b1,07:46:05
2020-10-11,46.696013,820.0500000000001,2459133.9191559213,4598.0,2.070328,HAT-P-32_P4,10:03:35
2020-10-11,46.693287,820.0500000000001,2459133.929026449,4598.0,2.070447,HAT-P-32_P4,10:17:47
2020-10-12,46.695975,820.0500000000001,2459134.912874667,6569.0,2.070322,HAT-P-32_6_OUT_b2,09:54:32
2020-10-12,46.693214,820.0500000000001,2459134.922745177,6569.0,2.07044,HAT-P-32_6_OUT_b2,10:08:45
2020-10-12,46.690436,820.0500000000001,2459134.9326157244,6569.0,2.070548,HAT-P-32_6_OUT_b2,10:22:57
2020-10-12,46.687832,820.0500000000001,2459134.9424864105,6569.0,2.070689,HAT-P-32_6_OUT_b2,10:37:10
2020-12-02,46.68161,820.0500000000001,2459185.546678011,3921.0,2.069383,hat-p-32b,01:07:12
2020-12-02,46.681176,820.0500000000001,2459185.556548416,3921.0,2.069534,hat-p-32b,01:21:25
2020-12-09,46.697834,820.0500000000001,2459192.7561335824,3921.0,2.070118,hat-p-32b,06:08:49
2020-12-09,46.695135,820.0500000000001,2459192.766004316,3921.0,2.070197,hat-p-32b,06:23:02
2020-12-23,46.698589,820.0500000000001,2459206.7260390297,8488.0,2.070071,hat-p-32b,05:25:29
2020-12-23,46.695982,820.0500000000001,2459206.7359094503,8488.0,2.070153,hat-p-32b,05:39:42
2020-12-25,46.697956,820.0500000000001,2459208.7117372216,8488.0,2.069971,hat-p-32b,05:04:54
2020-12-25,46.695358,820.0500000000001,2459208.7216075356,8488.0,2.070024,hat-p-32b,05:19:06
2020-11-05,33.824234,820.0500000000001,2459158.854404254,4586.0,7.545132,HAT-P-33_P4,08:30:20
2020-11-05,33.82453,820.0500000000001,2459158.8642755183,4586.0,7.545282,HAT-P-33_P4,08:44:33
2020-11-16,33.824142,820.0500000000001,2459169.816987092,4586.0,7.545207,HAT-P-33_P4,07:36:27
2020-11-16,33.824461,820.0500000000001,2459169.8268574923,4586.0,7.545364,HAT-P-33_P4,07:50:40
2020-12-29,33.826023,820.0500000000001,2459212.708434342,8510.0,7.545411,hat-p-33b,05:00:08
2020-12-29,33.826142,820.0500000000001,2459212.718304833,8510.0,7.545579,hat-p-33b,05:14:21
2020-12-29,48.014182,617.7,2459212.974939797,202.0,13.738682,HAT-P-3b_1_OUT_b2,11:23:54
